PeakID,Timepoint,Amplitude,Position (px),Sigma (px),Instantaneous diffusion coefficient
455,207,2.979262741246463,145.3477819428642,3.4982905863200426,0.000349426928028472
457,208,3.048907666527151,145.4848298526403,3.3243814180552205,0.00036302061870980965
459,209,3.1367794889573495,145.5430158549785,3.1662698650147956,0.0004105197086389234
461,210,3.2236634725704345,145.47076164828613,3.076469449967399,0.0004872667019827364
463,211,3.3109442337060586,145.269255288655,3.055292309537002,0.0005352383473005324
465,212,3.422795311079176,145.0607618077922,3.0603241803317336,0.0005500887129162728
467,213,3.50600923230777,144.9892989749566,3.1082076740300146,0.0005543338371357033
469,214,3.4919711767491743,145.02829419932877,3.1780492876957482,0.0005534760714442414
472,215,3.325775993365753,145.0302268972335,3.238567224913793,0.0005590424197368199
473,216,3.1610008801529954,144.9323051773604,3.249062145312874,0.0005801562706685871
475,217,3.088101703411891,144.80249813312628,3.225294159040836,0.0006084676586590631
477,218,3.09578973425659,144.65385684830648,3.192336720553311,0.000665248850445095
479,219,3.2273311230826294,144.51794667674417,3.134118952542236,0.0007438836989146926
481,220,3.465984391909498,144.48189891829435,3.0512518768866483,0.0007907053589416614
483,221,3.7371867379989108,144.56106324113796,3.053762796490667,0.0007936152878175187
485,222,3.89332249404496,144.71372388192543,3.1492132705657916,0.0007886799426678614
487,223,3.784886338411747,144.88702897612876,3.268489877049288,0.000782983600813758
489,224,3.474846544617669,145.09983472171282,3.4088311758299605,0.0007695304886251675
491,225,3.3007038822125407,145.26518736662342,3.50751365986407,0.0007760608959736382
493,226,3.4127922215810185,145.23119819465396,3.557126640211982,0.0008038281626716703
496,227,3.691636763766874,145.1481378001068,3.524648760074704,0.0008188752905934698
497,228,4.001322428788832,145.15076888251664,3.4652220528866127,0.0008221930541795218
499,229,4.193827821428993,145.14757771233766,3.4206955647117105,0.0008399164347411825
501,230,4.197960788656998,145.006285658778,3.3580626542804457,0.0008667350513761166
503,231,4.218301467688013,144.77062195880285,3.3278801677717196,0.0008848981636554033
505,232,4.418562984675262,144.59261467539915,3.3461086169935443,0.0009066155365446851
507,233,4.568006295808522,144.4600057771995,3.4114857369637064,0.000940013246986989
509,234,4.428448286700757,144.31183794036545,3.547248582762842,0.0009696793254705027
