PeakID,Timepoint,Amplitude,Position (px),Sigma (px)
185,61,41.36037168471287,75.43858661414531,1.5847060943314222
187,62,39.932651589417844,75.31180027608343,1.4115030845297944
191,63,35.811959845167465,75.41474378147731,1.4092758894889688
194,64,34.24280820973299,75.05135402941009,1.500413607636639
198,65,28.054623025364016,75.45306943846823,1.6666595831279194
201,66,26.014076368639238,76.06107989221393,1.7411657390957986
202,67,47.37165510350622,75.39532120864196,1.3149988981499066
205,68,42.95722077792515,75.38332393304661,1.3521629831884847
210,69,25.077360968280516,75.691721618355,1.6729089015626046
213,70,21.762701607236497,75.28733335281184,1.7681220099097403
216,71,27.247803412700037,75.13692444576591,1.5376262722453349
217,72,48.42726741599296,75.72945797551927,1.4836784835879862
220,73,34.771187946920996,75.22157551661897,1.3516895208777702
224,74,39.017388672530416,75.33205779290869,1.2603325702868076
228,75,27.498875894291263,75.46704907481764,1.514507277847901
229,76,34.123880420543315,75.6671307999974,1.5210998331964165
232,77,36.24765178032373,74.99583775826986,1.6211047856547667
237,78,30.913258381863013,75.29800994766175,1.3285914468406468
239,79,26.523593660344453,74.72373533202207,1.4617706679081839
243,80,26.948859963489912,74.44902042103384,1.5287871356268623
246,81,23.36809816986596,75.02921915909293,1.7451419213233803
249,82,28.12910994343248,75.29669385126302,1.853276574009195
251,83,26.446057607224805,74.97163707573469,1.5303518912575444
255,84,33.47192393424683,74.76637020978812,1.7436319425729663
258,85,25.071231244110752,74.78593148630061,1.6446435411858962
261,86,24.50988136721407,75.00504825205046,1.4570176554828325
264,87,29.752579697300604,74.73647340080323,1.6114415168190084
267,88,36.43935667886809,74.54680360165472,1.2333639123785172
270,89,29.08455739424963,74.1993925052968,1.6500922556604083
272,90,26.697233947906568,74.1363448077501,1.2000000000080533
274,91,18.178491050862196,74.12258182175714,1.8297963124043446
276,92,34.448534082667926,74.36585630553303,1.3986894862690824
278,93,28.698186573279067,74.37962616893344,1.518325277346699
280,94,35.358000135531526,74.0727620370679,1.4987547668423709
281,95,30.227848404013585,74.12424775851238,1.3777792394043336
284,96,14.515110578599577,74.20910960924073,1.6917341373725423
286,97,27.46864942500044,73.94356743535239,1.8476031593645097
288,98,26.08568005746864,74.85265491391365,1.3578744957399933
290,99,45.26222871119881,74.6293114525047,1.3325457122011093
292,100,38.51366622498322,74.91866505089592,1.5259710011952492
294,101,36.41324453752393,74.39289382276449,1.4340044988375618
296,102,38.456149024601125,74.27481641207486,1.2000000000000002
298,103,19.871330070748474,74.25863440740699,1.3365085554216822
300,104,32.49835396622944,74.4001404659814,1.2000000000000002
302,105,38.43099567806526,74.2194593684414,1.4954603384715193
303,106,36.51944658433879,74.33408669761765,1.6791563369137246
305,107,32.503858192567456,74.09386599346618,1.308978819323661
307,108,42.652997817126476,74.45033586112834,1.3158108933849726
310,109,38.97377174678176,74.30056202034439,1.3149660318144545
311,110,40.27401847064065,74.61995762641234,1.3093490883460697
313,111,42.16756712357497,74.52454919761281,1.3297603403750147
315,112,37.36948354477178,74.52693535583134,1.3900604836874781
318,113,33.47110130513131,74.11187605790778,1.4718267447664783
319,114,37.31898544886883,74.01794423547759,1.230706756253415
322,115,25.563177518164224,74.3414600483968,1.3552756518961473
324,116,34.55219416289169,74.47878588121971,1.2000000000023956
325,117,33.780647455947154,73.92219808590067,1.4117186666843449
328,118,7.567931159618005,73.1509789619026,1.2000000000000002
330,119,31.244313169313575,73.93008344297634,1.5952297665953639
331,120,19.945533415391328,73.84984739209591,1.6029604266174449
333,121,31.517744008702113,73.338375291306,1.2678799451258975
336,122,16.766508669816215,72.65260128906792,1.6635193857605088
338,123,42.97208103222172,73.04378400342799,1.569595357695909
340,124,22.340295976962082,73.07370314721081,1.9500377910201114
342,125,16.04233678214288,71.99565969829284,1.2000000000000002

