Timepoint,Intensity,Step
70,34.256717665946866,34.28754248983745
71,30.0606766178577,34.28754248983745
72,33.20383860288409,34.28754248983745
73,32.06149898986846,34.28754248983745
74,37.44433061846701,34.28754248983745
75,42.86771000122882,34.28754248983745
76,22.026874544668274,34.28754248983745
77,26.849827899130364,34.28754248983745
78,39.15596446949515,34.28754248983745
79,12.616631653530423,34.28754248983745
80,48.383466356415006,34.28754248983745
81,32.96922775704936,34.28754248983745
82,41.649984695836636,34.28754248983745
83,26.37623211762612,34.28754248983745
84,31.997695954288826,34.28754248983745
85,39.009088755206164,34.28754248983745
86,26.43343466855197,34.28754248983745
87,31.961620568308607,34.28754248983745
88,40.33516245552609,34.28754248983745
89,38.57730362172304,0.4107730362172304
90,0.0,0.4107730362172304
91,0.0,0.4107730362172304
92,0.0,0.4107730362172304
93,0.0,0.4107730362172304
94,0.0,0.4107730362172304
95,0.0,0.4107730362172304
96,0.0,0.4107730362172304
97,0.0,0.4107730362172304
98,0.0,0.4107730362172304
99,0.0,0.4107730362172304
100,0.0,0.4107730362172304
101,0.0,0.4107730362172304
102,0.0,0.4107730362172304
103,0.0,0.4107730362172304
104,0.0,0.4107730362172304
105,0.0,0.4107730362172304
106,0.0,0.4107730362172304
107,0.0,0.4107730362172304
108,0.0,0.4107730362172304
109,0.0,0.4107730362172304
110,0.0,0.4107730362172304
111,0.0,0.4107730362172304
112,0.0,0.4107730362172304
113,0.0,0.4107730362172304
114,0.0,0.4107730362172304
115,0.0,0.4107730362172304
116,0.0,0.4107730362172304
117,0.0,0.4107730362172304
118,0.0,0.4107730362172304
119,0.0,0.4107730362172304
120,0.0,0.4107730362172304
121,0.5,0.4107730362172304
122,0.0,0.4107730362172304
123,0.0,0.4107730362172304
124,0.0,0.4107730362172304
125,0.0,0.4107730362172304
126,0.0,0.4107730362172304
127,0.0,0.4107730362172304
128,0.0,0.4107730362172304
129,0.0,0.4107730362172304
130,0.0,0.4107730362172304
131,0.0,0.4107730362172304
132,1.0,0.4107730362172304
133,0.0,0.4107730362172304
134,0.0,0.4107730362172304
135,0.0,0.4107730362172304
136,0.0,0.4107730362172304
137,0.0,0.4107730362172304
138,0.0,0.4107730362172304
139,0.0,0.4107730362172304
140,0.0,0.4107730362172304
141,0.0,0.4107730362172304
142,0.0,0.4107730362172304
143,0.0,0.4107730362172304
144,0.0,0.4107730362172304
145,0.0,0.4107730362172304
146,0.0,0.4107730362172304
147,0.0,0.4107730362172304
148,0.0,0.4107730362172304
149,0.5,0.4107730362172304
150,0.0,0.4107730362172304
151,0.0,0.4107730362172304
152,0.0,0.4107730362172304
153,0.0,0.4107730362172304
154,0.0,0.4107730362172304
155,0.0,0.4107730362172304
156,0.0,0.4107730362172304
157,0.0,0.4107730362172304
158,0.0,0.4107730362172304
159,0.0,0.4107730362172304
160,0.0,0.4107730362172304
161,0.0,0.4107730362172304
162,0.0,0.4107730362172304
163,0.0,0.4107730362172304
164,0.0,0.4107730362172304
165,0.0,0.4107730362172304
166,0.5,0.4107730362172304
167,0.0,0.4107730362172304
168,0.0,0.4107730362172304
169,0.0,0.4107730362172304
170,0.0,0.4107730362172304
171,0.0,0.4107730362172304
172,0.0,0.4107730362172304
173,0.0,0.4107730362172304
174,0.0,0.4107730362172304
175,0.0,0.4107730362172304
176,0.0,0.4107730362172304
177,0.0,0.4107730362172304
178,0.0,0.4107730362172304
179,0.0,0.4107730362172304
180,0.0,0.4107730362172304
181,0.0,0.4107730362172304
182,0.0,0.4107730362172304
183,0.0,0.4107730362172304
184,0.0,0.4107730362172304
185,0.0,0.4107730362172304
186,0.0,0.4107730362172304
187,0.0,0.4107730362172304
188,0.0,0.4107730362172304
