Timepoint,Intensity,Step
93,52.66933971517707,35.94987960781436
94,44.09719623882996,35.94987960781436
95,10.80264342053245,35.94987960781436
96,40.8898464971166,35.94987960781436
97,40.5050031314036,35.94987960781436
98,51.844358798857286,35.94987960781436
99,44.662593625819625,35.94987960781436
100,57.14894857325458,35.94987960781436
101,47.51625779373415,35.94987960781436
102,69.60753165171278,35.94987960781436
103,20.16943821602028,35.94987960781436
104,47.14228567751683,35.94987960781436
105,65.07402575356512,35.94987960781436
106,34.03329424087586,35.94987960781436
107,28.091800666570172,35.94987960781436
108,32.35743309077673,35.94987960781436
109,65.38911319975387,35.94987960781436
110,15.192777750405911,35.94987960781436
111,38.78901547581352,35.94987960781436
112,35.35171597584494,35.94987960781436
113,45.61563714960332,35.94987960781436
114,19.93970768606438,35.94987960781436
115,34.394153730276464,35.94987960781436
116,48.36924212584618,35.94987960781436
117,33.628074832052334,35.94987960781436
118,33.633421850953624,35.94987960781436
119,36.776114786188344,35.94987960781436
120,12.052282082638472,35.94987960781436
121,26.787339817443137,35.94987960781436
122,34.25357165199428,35.94987960781436
123,68.32587500760862,35.94987960781436
124,56.94626640493367,35.94987960781436
125,33.670335024902634,35.94987960781436
126,19.485199561650084,35.94987960781436
127,33.902751443337905,35.94987960781436
128,30.118903721752453,35.94987960781436
129,33.023203495756704,35.94987960781436
130,59.26824549535344,35.94987960781436
131,60.20976493190955,35.94987960781436
132,32.8223024285221,35.94987960781436
133,32.60654411777307,35.94987960781436
134,50.17793768789927,35.94987960781436
135,38.81010111652764,35.94987960781436
136,62.79528754224431,35.94987960781436
137,31.750212290130264,35.94987960781436
138,40.52071198737816,35.94987960781436
139,25.97568894434875,35.94987960781436
140,81.81023580853805,35.94987960781436
141,44.009314843841665,35.94987960781436
142,28.242169035798664,35.94987960781436
143,81.12274522597426,35.94987960781436
144,34.265272711105666,35.94987960781436
145,53.870021486038794,35.94987960781436
146,36.7151473298997,35.94987960781436
147,47.2071021983056,35.94987960781436
148,31.751043731867615,35.94987960781436
149,51.68195733181513,35.94987960781436
150,61.09738618400571,35.94987960781436
151,44.39417944876246,35.94987960781436
152,47.073971970862814,35.94987960781436
153,40.092741860552636,35.94987960781436
154,57.807584896340536,35.94987960781436
155,40.145615450370606,35.94987960781436
156,58.281647893884404,35.94987960781436
157,14.387143020648802,35.94987960781436
158,43.12261982611393,35.94987960781436
159,35.27752852541148,35.94987960781436
160,47.775582930894934,35.94987960781436
161,27.494123345827813,35.94987960781436
162,36.32263806422469,35.94987960781436
163,42.69025107975581,35.94987960781436
164,27.557916128123797,35.94987960781436
165,31.44249043303646,35.94987960781436
166,25.300612708055272,35.94987960781436
167,39.35518520483878,35.94987960781436
168,60.32535624820156,35.94987960781436
