Timepoint,Track1 ID,Track2 ID,Peak1 ID,Peak2 ID,Peak1 pos (px),Peak2 pos (px),Displacement1 (px),Displacement2 (px),Initial separation (px),R2,Intercept
59,3,3,158,179,138.70756421111201,138.18664864875254,2.3025735479405114,1.3583505410489067,0.4233074445321279,0.9624279339276353,-0.4575072618765812
60,3,3,160,182,138.71181021636235,138.25868801454726,2.3068195531908486,1.4303899068436294,0.4233074445321279,0.9624279339276353,-0.4575072618765812
61,3,3,162,185,138.71688183251302,138.55904012069809,2.3118911693415214,1.7307420129944546,0.4233074445321279,0.9624279339276353,-0.4575072618765812
62,3,3,164,188,138.73350231397308,138.97617320116413,2.3285116508015733,2.147875093460499,0.4233074445321279,0.9624279339276353,-0.4575072618765812
63,3,3,166,192,138.79817408245702,139.37668044951235,2.3931834192855206,2.5483823418087184,0.4233074445321279,0.9624279339276353,-0.4575072618765812
64,3,3,168,195,138.88934427333356,139.74384972600055,2.48435361016206,2.9155516182969166,0.4233074445321279,0.9624279339276353,-0.4575072618765812
65,3,3,169,198,138.99723795079174,139.98341885066228,2.592247287620239,3.155120742958644,0.4233074445321279,0.9624279339276353,-0.4575072618765812
66,3,3,171,200,139.1119482999312,140.05027015879327,2.706957636759711,3.2219720510896366,0.4233074445321279,0.9624279339276353,-0.4575072618765812
67,3,3,174,203,139.21103922988962,139.9371276029454,2.8060485667181183,3.108829495241764,0.4233074445321279,0.9624279339276353,-0.4575072618765812
68,3,3,176,207,139.30439342531122,139.89181668151664,2.899402762139715,3.0635185738130133,0.4233074445321279,0.9624279339276353,-0.4575072618765812
69,3,3,178,210,139.4384332341896,140.0149108750006,3.0334425710180994,3.186612767296964,0.4233074445321279,0.9624279339276353,-0.4575072618765812
70,3,3,180,213,139.5947083228715,140.09793869223438,3.189717659699994,3.269640584530748,0.4233074445321279,0.9624279339276353,-0.4575072618765812
71,3,3,182,215,139.73219464557445,140.20736352478346,3.327203982402949,3.379065417079829,0.4233074445321279,0.9624279339276353,-0.4575072618765812
72,3,3,184,218,139.8150995808988,140.36834435290424,3.4101089177272854,3.540046245200614,0.4233074445321279,0.9624279339276353,-0.4575072618765812
73,3,3,185,221,139.85473934272233,140.60831709340107,3.4497486795508223,3.7800189856974384,0.4233074445321279,0.9624279339276353,-0.4575072618765812
74,3,3,187,224,139.96447897901035,140.84548091964407,3.5594883158388484,4.017182811940444,0.4233074445321279,0.9624279339276353,-0.4575072618765812
75,3,3,190,227,140.12451334043695,141.03869280726445,3.719522677265445,4.210394699560823,0.4233074445321279,0.9624279339276353,-0.4575072618765812
76,3,3,192,231,140.2910286619106,141.30748301270398,3.8860379987390843,4.479184905000352,0.4233074445321279,0.9624279339276353,-0.4575072618765812
77,3,3,194,234,140.5465603449316,141.5892922894101,4.141569681760103,4.760994181706479,0.4233074445321279,0.9624279339276353,-0.4575072618765812
78,3,3,196,237,140.8780840122058,141.72774231899913,4.473093349034286,4.899444211295503,0.4233074445321279,0.9624279339276353,-0.4575072618765812
79,3,3,198,240,141.12185477417816,141.7900956612297,4.716864111006657,4.9617975535260825,0.4233074445321279,0.9624279339276353,-0.4575072618765812
80,3,3,200,243,141.28251357516697,141.87218417715573,4.87752291199547,5.0438860694521,0.4233074445321279,0.9624279339276353,-0.4575072618765812
81,3,3,202,246,141.3820892178279,141.711481242694,4.977098554656408,4.883183134990361,0.4233074445321279,0.9624279339276353,-0.4575072618765812
82,3,3,204,249,141.34486114730402,141.22187609835964,4.939870484132513,4.393577990656013,0.4233074445321279,0.9624279339276353,-0.4575072618765812
83,3,3,206,252,141.21841546313922,140.84127457816155,4.81342479996772,4.0129764704579145,0.4233074445321279,0.9624279339276353,-0.4575072618765812
84,3,3,208,255,141.14747531066894,140.78760209205115,4.7424846474974345,3.959303984347514,0.4233074445321279,0.9624279339276353,-0.4575072618765812
86,3,3,211,260,141.01683655499932,141.11980944976924,4.611845891827812,4.291511342065604,0.4233074445321279,0.9624279339276353,-0.4575072618765812
87,3,3,213,263,140.90097294273593,141.01957521298337,4.49598227956443,4.191277105279738,0.4233074445321279,0.9624279339276353,-0.4575072618765812
88,3,3,215,266,140.83365944830825,140.8196027153612,4.42866878513675,3.9913046076575824,0.4233074445321279,0.9624279339276353,-0.4575072618765812
89,3,3,217,269,140.83918085203769,140.59419557320822,4.434190188866182,3.765897465504594,0.4233074445321279,0.9624279339276353,-0.4575072618765812
